Ciudad (o),Ciudad (d),Distancia (km),,,,,,,,,
,,,,,,Fuentes: https://www.google.com/maps,,,,,
Tokio,Yokohama,30,,,,o: origen,,,,,
Tokio,Nikko,110,,,,d:destino,,,,,
Tokio,Sendai,310,,,,* el referente para medir estas distancias, fue el ayuntamiento de cada ,,,,
Tokio,Nagoya,260,,,, ciudad como punto central siendo una,distancia en linea recta .,,,,
Tokio,Osaka,400,,,,,,,,,
Yokohama,Nagoya,250,,,,,,,,,
Sendai,Sapporo,530,,,,,,,,,
Nagoya,Kioto,110,,,,,,,,,
Nagoya,Kanazawa,160,,,,,,,,,
Kioto,Osaka,40,,,,,,,,,
Kioto,Nara,40,,,,,,,,,
Kioto,Kanazawa,190,,,,,,,,,
Osaka,Kobe,30,,,,,,,,,
Osaka,Nara,30,,,,,,,,,
Osaka,Hiroshima,280,,,,,,,,,
Kobe,Hiroshima,250,,,,,,,,,
Hiroshima,Fukuoka,210,,,,,,,,,
Fukuoka,Nagasaki,110,,,,,,,,,
Fukuoka,Okinawa,860,,,,,,,,,
Nagasaki,Okinawa,760,,,,,,,,,
Kanazawa,Nikko,270,,,,,,,,,
Nara,Nagoya,110,,,,,,,,,
Sapporo,Tokio,830,,,,,,,,,
Nikko,Sendai,200,,,,,,,,,
Hiroshima,Nagasaki,300,,,,,,,,,
